epoch,loss,ce_loss,contra_loss,val_acc,alignment,uniformity,label_ratio,num_labeled,num_unlabeled
0,0.9678565169635572,0.9678565169635572,0.0,0.651125,0.6260931084030553,-1.947849010166369,1.0,5000,100000
1,0.6023308038711548,0.6023308038711548,0.0,0.74325,0.3858470226589002,-1.6769418151755082,1.0,5000,100000
2,0.4809340818932182,0.4809340818932182,0.0,0.763125,0.34361380181814494,-1.700002212273447,1.0,5000,100000
3,0.4271179327839299,0.4271179327839299,0.0,0.79225,0.3454424660456808,-1.730600357055664,1.0,5000,100000
4,0.37989883516964157,0.37989883516964157,0.0,0.762625,0.3413257598876953,-1.7563119185598273,1.0,5000,100000
5,0.3304520437591954,0.3304520437591954,0.0,0.744625,0.33501114657050685,-1.785424081902755,1.0,5000,100000
6,0.3272536216597808,0.3272536216597808,0.0,0.77925,0.34148084646777105,-1.8106132871226261,1.0,5000,100000
7,0.33097135942233236,0.33097135942233236,0.0,0.771375,0.3358933643290871,-1.8054584202013517,1.0,5000,100000
8,0.3258394622489026,0.3258394622489026,0.0,0.778625,0.33998609687152664,-1.8182902273378874,1.0,5000,100000
9,0.325560295268109,0.325560295268109,0.0,0.75375,0.32270917453263936,-1.8017463182148181,1.0,5000,100000
10,0.29056733376101446,0.29056733376101446,0.0,0.8075,0.3209555854922847,-1.8170892000198364,1.0,5000,100000
11,0.2746950536966324,0.2746950536966324,0.0,0.825375,0.3190310330767381,-1.8368529708761918,1.0,5000,100000
12,0.2525633322565179,0.2525633322565179,0.0,0.779625,0.3225882931759483,-1.8582256279493634,1.0,5000,100000
13,0.24715581850001686,0.24715581850001686,0.0,0.7875,0.3257368034438083,-1.865327000617981,1.0,5000,100000
14,0.23637150384877859,0.23637150384877859,0.0,0.7635,0.3175847122543736,-1.864516113933764,1.0,5000,100000
15,0.2321784143385134,0.2321784143385134,0.0,0.7425,0.3227788805961609,-1.8740982695629722,1.0,5000,100000
16,0.24326672836353905,0.24326672836353905,0.0,0.662625,0.31401960316457245,-1.8703600356453343,1.0,5000,100000
17,0.22625161079983963,0.22625161079983963,0.0,0.81175,0.3112276086681767,-1.8523289718125995,1.0,5000,100000
18,0.20934189267848669,0.20934189267848669,0.0,0.8225,0.30620993124811274,-1.8646252092562223,1.0,5000,100000
19,0.21516982975759005,0.21516982975759005,0.0,0.768125,0.31152167602589254,-1.8811555598911487,1.0,5000,100000
20,0.2006113772329531,0.2006113772329531,0.0,0.809625,0.3089357238066824,-1.8731717310453717,1.0,5000,100000
