epoch,loss,sup,unsup,contra,mask,st_acc,te_acc,best_acc,lr,ema
0,1.93513430081881,1.93513430081881,0.0,0.0,0.0,0.311375,0.210875,0.311375,0.00016666666666666666,0.99
1,1.7306952598767402,1.7306952598767402,0.0,0.0,0.0,0.34525,0.227875,0.34525,0.0003333333333333333,0.9900098663578586
2,1.4024175940415797,1.6660209802480845,0.01725456042167468,-0.2808579466281793,0.023237179487179488,0.363125,0.20925,0.363125,0.0005,0.9900394264934276
3,1.2153734839879549,1.5819640159606934,0.0064184360015086634,-0.3730089679742471,0.008012820512820512,0.33425,0.340625,0.363125,0.0006666666666666666,0.9900885637463566
4,1.4037567499356391,1.510851908952762,0.0006166360317132411,-0.10771179504883595,0.0014022435897435897,0.41425,0.360875,0.41425,0.0008333333333333334,0.9901570841943569
5,0.8880798327617156,1.4842226199614696,0.008197759970640525,-0.6043405471703945,0.015625,0.454,0.37475,0.454,0.001,0.9902447174185243
6,0.7486682197986505,1.4268282774167182,0.00405123294928135,-0.6822112905673492,0.01061698717948718,0.40675,0.406375,0.454,0.000998794204878613,0.9903511175705587
7,0.2599621201172853,1.4057296911875408,0.010320917153969789,-1.1560884882242253,0.028846153846153848,0.303,0.432125,0.454,0.0009951826940270774,0.9904758647376699
8,-0.0789899352269295,1.3919061483480992,0.015044242525712037,-1.4859403264828217,0.04006410256410257,0.4565,0.36425,0.4565,0.0009891830623632338,0.9906184665997807
9,-0.12295121718675663,1.3843956773097699,0.0897129441683109,-1.5970598382827563,0.13000801282051283,0.354375,0.468375,0.468375,0.0009808245394894678,0.9907783603724899
10,-0.2582385417742607,1.3300862648548224,0.025607588963630874,-1.613932395592714,0.07171474358974358,0.484875,0.464125,0.484875,0.0009701478472890247,0.9909549150281253
11,-0.33888337856683975,1.3074450431725917,0.03668515957318819,-1.6830135813126197,0.10737179487179487,0.394375,0.465125,0.484875,0.0009572050015330874,0.991147433786121
12,-0.36420023899811965,1.291891099550785,0.03303787417900868,-1.6891292134920757,0.10596955128205128,0.473875,0.436625,0.484875,0.0009420590584651689,0.9913551568628929
