epoch,loss,sup,unsup,contra,mask,st_acc,te_acc,best_acc,lr,ema
0,1.9468670869484925,1.9468670869484925,0.0,0.0,0.0,0.313625,0.2065,0.313625,0.00016666666666666666,0.99
1,1.754518802349384,1.754518802349384,0.0,0.0,0.0,0.34275,0.2865,0.34275,0.0003333333333333333,0.9900098663578586
2,1.6521644378319764,1.649950418716822,0.00021685086763822116,0.001997167483354226,0.00040064102564102563,0.35075,0.285875,0.35075,0.0005,0.9900394264934276
3,1.602247221347613,1.584933232038449,0.002410741952749399,0.014903246496732418,0.003205128205128205,0.32025,0.293125,0.35075,0.0006666666666666666,0.9900885637463566
4,1.6048759084481459,1.5657203136346278,0.013187432900453225,0.025968158474335305,0.015625,0.348,0.288625,0.35075,0.0008333333333333334,0.9901570841943569
5,1.5542888167576911,1.52022490134606,0.007064440311529698,0.02699947424041919,0.010416666666666666,0.45375,0.341125,0.45375,0.001,0.9902447174185243
6,1.4806155134470036,1.4425594073075514,0.003389260707757412,0.0346668473420999,0.007411858974358974,0.391,0.36,0.45375,0.000998794204878613,0.9903511175705587
7,1.5164236563902636,1.4312018232467847,0.01199478063827906,0.07322705699465214,0.027443910256410256,0.40275,0.446375,0.45375,0.0009951826940270774,0.9904758647376699
8,1.5133211551568446,1.419422061015398,0.01113736629486084,0.08276173453300427,0.033052884615384616,0.40325,0.42625,0.45375,0.0009891830623632338,0.9906184665997807
9,1.4992072857343233,1.3827171081151717,0.033206939697265625,0.08328323734876437,0.058693910256410256,0.44525,0.4325,0.45375,0.0009808245394894678,0.9907783603724899
10,1.5846289961765974,1.401174056224334,0.08887968155053946,0.09457525916588612,0.1500400641025641,0.384375,0.36075,0.45375,0.0009701478472890247,0.9909549150281253
11,1.4783693918815026,1.3469634988369086,0.04427087918306009,0.08713501300185154,0.10136217948717949,0.429375,0.445875,0.45375,0.0009572050015330874,0.991147433786121
12,1.4368432592122982,1.3130116967054515,0.03946960889376127,0.08436195218028167,0.1077724358974359,0.513125,0.46125,0.513125,0.0009420590584651689,0.9913551568628929
13,1.4110993834642263,1.2655740609535804,0.06239641782564995,0.08312890458947574,0.1372195512820513,0.4065,0.499125,0.513125,0.0009247838075974309,0.9915772644703565
14,1.40354524514614,1.2895345382201366,0.0297088378514999,0.08430187251323308,0.09194711538461539,0.476375,0.48425,0.513125,0.000905463412215599,0.9918128800512566
15,1.4028501617602813,1.2691716246115856,0.05043509296881847,0.0832434400725059,0.1326121794871795,0.521125,0.52475,0.52475,0.0008841919993438941,0.9920610737385376
16,1.4447929507646806,1.2665918209613898,0.0926796113833403,0.08552152481980813,0.1907051282051282,0.415,0.48525,0.52475,0.0008610732011676323,0.992320866025105
17,1.4299994248610277,1.2626382494584107,0.08239835901902272,0.08496281628807385,0.1953125,0.460875,0.503625,0.52475,0.0008362196501476349,0.9925912316294914
18,1.3545957880142407,1.2158343066007664,0.05710527644707607,0.08165619837550017,0.16105769230769232,0.427875,0.542375,0.542375,0.0008097524302862008,0.9928711035421747
19,1.370377893631275,1.2144302206161695,0.07425462473661472,0.08169304627256516,0.18008814102564102,0.505125,0.52475,0.542375,0.0007818004872180196,0.9931593772365767
20,1.340579900986109,1.1878650845625462,0.07314531161234929,0.07956950796338227,0.18549679487179488,0.3255,0.535625,0.542375,0.0007525,0.9934549150281252
21,1.351699561644823,1.1920287211736043,0.07799540421901605,0.08167543300451377,0.1828926282051282,0.4835,0.496125,0.542375,0.0007219937176605934,0.9937565505641757
22,1.3188099433214238,1.1603041130762834,0.07914499117013736,0.07936083706907737,0.20873397435897437,0.530375,0.41075,0.542375,0.0006904302637408765,0.9940630934270713
23,1.3737773559032342,1.1949047629649823,0.09696556761478767,0.08190702570554538,0.2325721153846154,0.454625,0.512875,0.542375,0.000657963412215599,0.9943733338321785
24,1.2999056982688415,1.1448968350887299,0.07548425709589934,0.07952460465140831,0.2091346153846154,0.563125,0.551125,0.563125,0.0006247513383218356,0.9946860474023534
25,1.2912990664824462,1.11642558605243,0.09688000056223992,0.07799348502587049,0.2530048076923077,0.4795,0.530125,0.563125,0.0005909558479451307,0.995
26,1.3218139371810815,1.1292998355168562,0.11349028998460525,0.07902381187066054,0.2640224358974359,0.55125,0.54225,0.563125,0.0005567415893174885,0.9953139525976465
27,1.2932090102097926,1.1147843843851335,0.10005195610798322,0.07837267305988532,0.2614182692307692,0.50975,0.5445,0.563125,0.000522275250867738,0.9956266661678215
28,1.5493364953077757,1.1998080901610546,0.25211616586416197,0.09741224472721417,0.43770032051282054,0.51775,0.491375,0.563125,0.00048772474913226217,0.9959369065729287
29,1.2756773378604498,1.1010715892681708,0.09624678259476638,0.07835896504230988,0.2558092948717949,0.472625,0.49625,0.563125,0.00045325841068251166,0.9962434494358243
30,1.2738255973045642,1.086532970269521,0.10928401303214905,0.07800861027760383,0.29126602564102566,0.499125,0.521875,0.563125,0.00041904415205486954,0.9965450849718748
31,1.2595975345525987,1.0698211063177159,0.11302448312441508,0.07675194625671093,0.3020833333333333,0.541875,0.535375,0.563125,0.00038524866167816444,0.9968406227634233
32,1.2429667825882251,1.056368039204524,0.11099185498479085,0.07560688400497803,0.31330128205128205,0.530875,0.533625,0.563125,0.0003520365877844011,0.9971288964578253
33,1.2410698960988948,1.0429883622206175,0.12213269640237857,0.07594883566101392,0.3145032051282051,0.567625,0.5235,0.567625,0.00031956973625912356,0.9974087683705086
34,1.1849359724766169,1.0251192603355799,0.08601643871038388,0.07380027066056545,0.297275641025641,0.537,0.509375,0.567625,0.0002880062823394067,0.9976791339748949
