epoch,loss,sup,unsup,contra,mask,st_acc,te_acc,best_acc,lr,ema
0,1.926027102348132,1.926027102348132,0.0,0.0,0.0,0.309125,0.27325,0.309125,0.00016666666666666666,0.99
1,1.7303006587884364,1.7303006587884364,0.0,0.0,0.0,0.36875,0.298875,0.36875,0.0003333333333333333,0.9900098663578586
2,1.6429892075367463,1.6429623823899488,2.68251467973758e-05,0.0,0.00020032051282051281,0.361625,0.286125,0.36875,0.0005,0.9900394264934276
3,1.568108937679193,1.56766144434611,0.0004474933330829327,0.0,0.0006009615384615385,0.333125,0.26625,0.36875,0.0006666666666666666,0.9900885637463566
4,1.561812468064137,1.5391643780928392,0.022648089971297827,0.0,0.029447115384615384,0.407,0.376375,0.407,0.0008333333333333334,0.9901570841943569
5,1.5083691768157177,1.5030430157979329,0.005326161017784705,0.0,0.010817307692307692,0.291,0.281875,0.407,0.001,0.9902447174185243
6,1.4502904659662492,1.4447638805095966,0.005526585456652519,0.0,0.014823717948717948,0.410875,0.43025,0.43025,0.000998794204878613,0.9903511175705587
7,1.4157340068083544,1.4012029323822413,0.01453107442611303,0.0,0.036057692307692304,0.384,0.329875,0.43025,0.0009951826940270774,0.9904758647376699
8,1.4221836939836159,1.390364142564627,0.03181955141898913,0.0,0.05689102564102564,0.396125,0.412375,0.43025,0.0009891830623632338,0.9906184665997807
9,1.4066931926287138,1.3703638529166198,0.03632933971209404,0.0,0.07491987179487179,0.496125,0.355875,0.496125,0.0009808245394894678,0.9907783603724899
10,1.3934304744769366,1.3586428287701728,0.03478764570676363,0.0,0.07151442307692307,0.439125,0.394375,0.496125,0.0009701478472890247,0.9909549150281253
11,1.3759778906137516,1.33008168446712,0.04589620576455043,0.0,0.11037660256410256,0.433125,0.49725,0.49725,0.0009572050015330874,0.991147433786121
12,1.3548590938250225,1.3055974290921137,0.04926166664331387,0.0,0.1374198717948718,0.399875,0.41025,0.49725,0.0009420590584651689,0.9913551568628929
13,1.3384366295276544,1.2857809204321642,0.05265570833132817,0.0,0.13842147435897437,0.5235,0.49575,0.5235,0.0009247838075974309,0.9915772644703565
14,1.368214251139225,1.2834667976085956,0.08474745162022419,0.0,0.20212339743589744,0.403375,0.428875,0.5235,0.000905463412215599,0.9918128800512566
15,1.3352820353630261,1.2667890191078186,0.06849301644624808,0.0,0.15925480769230768,0.39,0.53225,0.53225,0.0008841919993438941,0.9920610737385376
16,1.3237226467866163,1.2640768717496822,0.059645774081731454,0.0,0.15625,0.491625,0.486625,0.53225,0.0008610732011676323,0.992320866025105
17,1.3316309390923915,1.2489447670105176,0.08268617284603608,0.0,0.1891025641025641,0.429,0.500125,0.53225,0.0008362196501476349,0.9925912316294914
18,1.341528588380569,1.2544232713870513,0.0871053187128825,0.0,0.19611378205128205,0.43825,0.423625,0.53225,0.0008097524302862008,0.9928711035421747
19,1.2654983768096337,1.1999925894614978,0.06550578734813592,0.0,0.16967147435897437,0.4435,0.477125,0.53225,0.0007818004872180196,0.9931593772365767
20,1.2759279073813024,1.1960675701116905,0.07986033784273343,0.0,0.19651442307692307,0.478,0.477375,0.53225,0.0007525,0.9934549150281252
21,1.277238673124558,1.1998755534489949,0.07736311938900214,0.0,0.20072115384615385,0.483375,0.52725,0.53225,0.0007219937176605934,0.9937565505641757
22,1.2486621324832623,1.1762898793587317,0.07237225541701683,0.0,0.18830128205128205,0.517375,0.470875,0.53225,0.0006904302637408765,0.9940630934270713
23,1.2765463315523589,1.1692137947449317,0.1073325398640755,0.0,0.23497596153846154,0.436625,0.480375,0.53225,0.000657963412215599,0.9943733338321785
24,1.2238516364342127,1.1516731083393097,0.07217852885906513,0.0,0.19250801282051283,0.47875,0.517875,0.53225,0.0006247513383218356,0.9946860474023534
25,1.2449242166983776,1.1440186752722814,0.10090554295442043,0.0,0.2465945512820513,0.508375,0.43875,0.53225,0.0005909558479451307,0.995
26,1.2562353832599444,1.140329320461322,0.11590606337174392,0.0,0.2578125,0.407625,0.533375,0.533375,0.0005567415893174885,0.9953139525976465
27,1.206242948006361,1.1128242978682885,0.0934186482276672,0.0,0.24338942307692307,0.3995,0.47825,0.533375,0.000522275250867738,0.9956266661678215
28,1.187346882545031,1.1061016496939537,0.08124523304211788,0.0,0.23978365384615385,0.500625,0.480875,0.533375,0.00048772474913226217,0.9959369065729287
29,1.1807762613663306,1.0886791883370814,0.09209707302924915,0.0,0.2702323717948718,0.558375,0.5235,0.558375,0.00045325841068251166,0.9962434494358243
30,1.1829856657064879,1.0866084801845062,0.09637718609510323,0.0,0.2676282051282051,0.501625,0.52,0.558375,0.00041904415205486954,0.9965450849718748
31,1.1679017268694365,1.0649099113085332,0.102991816898187,0.0,0.2860576923076923,0.548,0.514375,0.558375,0.00038524866167816444,0.9968406227634233
32,1.1876548322347493,1.0673140035225794,0.12034083195985892,0.0,0.3030849358974359,0.539875,0.496625,0.558375,0.0003520365877844011,0.9971288964578253
33,1.2632357371159089,1.0904043767696772,0.17283135872238722,0.0,0.3447516025641026,0.55825,0.471125,0.558375,0.00031956973625912356,0.9974087683705086
34,1.1898847948282192,1.0512737578306444,0.13861103642445344,0.0,0.31810897435897434,0.555375,0.47875,0.558375,0.0002880062823394067,0.9976791339748949
35,1.3010390729476244,1.0861901396360152,0.21484892729383248,0.0,0.3583733974358974,0.532125,0.398375,0.558375,0.00025750000000000013,0.9979389262614624
36,1.399721438303972,1.1432222525278728,0.2564991857760992,0.0,0.40444711538461536,0.516,0.36125,0.558375,0.0002281995127819804,0.9981871199487434
37,1.5964281482574267,1.2083394221770458,0.388088726462462,0.0,0.5128205128205128,0.526,0.28875,0.558375,0.00020024756971379914,0.9984227355296434
38,1.9064324971957085,1.40532936499669,0.5011031279961268,0.0,0.742988782051282,0.489125,0.237375,0.558375,0.00017378034985236518,0.9986448431371071
39,1.9364734567128694,1.4347192614506452,0.5017541979367917,0.0,0.7970753205128205,0.419875,0.2345,0.558375,0.00014892679883236765,0.998852566213879
40,1.9047604233790667,1.4104046607628846,0.4943557660549115,0.0,0.8074919871794872,0.356125,0.25525,0.558375,0.00012580800065610593,0.9990450849718747
41,1.8302241686062934,1.3663184489959326,0.46390572037452305,0.0,0.7802483974358975,0.414125,0.241875,0.558375,0.00010453658778440107,0.9992216396275101
42,1.8631777870349395,1.3916209447078216,0.4715568400346316,0.0,0.7958733974358975,0.4115,0.26875,0.558375,8.521619240256916e-05,0.9993815334002193
43,1.8235894854252155,1.3690496881802876,0.45453979800908995,0.0,0.7794471153846154,0.435625,0.253125,0.558375,6.794094153483125e-05,0.9995241352623301
44,1.8236700938298152,1.3552808455931835,0.46838925091119915,0.0,0.7946714743589743,0.416125,0.276,0.558375,5.279499846691263e-05,0.9996488824294413
45,1.779361828779563,1.3414046733807294,0.4379571569271577,0.0,0.7758413461538461,0.432875,0.266625,0.558375,3.9852152710975386e-05,0.9997552825814757
46,1.7955807722531831,1.3474357770039485,0.44814499257466733,0.0,0.7768429487179487,0.438375,0.263875,0.558375,2.917546051053226e-05,0.9998429158056431
47,1.8038079891449366,1.3511002690364153,0.45270771858019704,0.0,0.7788461538461539,0.429875,0.267625,0.558375,2.0816937636766185e-05,0.9999114362536434
48,1.7855138564721131,1.333845384610005,0.45166847568291885,0.0,0.7854567307692307,0.43275,0.26975,0.558375,1.4817305972922726e-05,0.9999605735065724
49,1.7932599538411849,1.3369968365400264,0.4562631173011584,0.0,0.7944711538461539,0.4135,0.259875,0.558375,1.1205795121387023e-05,0.9999901336421414
