epoch,loss,ce_loss,contra_loss,val_acc,alignment,uniformity,label_ratio,num_labeled,num_unlabeled
0,1.2039937847538997,0.9772284375993829,0.22676534558597364,0.710625,1.4025644942333824,-3.316829480622944,1.0,5000,100000
1,0.6924785218740764,0.6064232681926928,0.0860552548577911,0.80025,1.6192402965144108,-3.674581916708695,1.0,5000,100000
2,0.5197629363913285,0.4586467742919922,0.06111616837350946,0.771,1.7047926501223916,-3.7618225499203333,1.0,5000,100000
3,0.4418919839357075,0.390157550573349,0.05173443140167939,0.773875,1.7379153527711566,-3.7895155203969857,1.0,5000,100000
4,0.4179539570682927,0.36952065166674164,0.0484333073622302,0.777875,1.7523559018185264,-3.7991711842386344,1.0,5000,100000
5,0.4218132793903351,0.3746148834103032,0.047198399117118435,0.81525,1.7430349462910701,-3.802651129270855,1.0,5000,100000
6,0.35814656866224187,0.3132093784056212,0.04493719045268862,0.752125,1.7461076535676654,-3.8062801361083984,1.0,5000,100000
7,0.3576615703733344,0.3129787343113046,0.044682834493486506,0.814125,1.7435473642851178,-3.8077142238616943,1.0,5000,100000
8,0.34520007591498525,0.30108589875070674,0.04411417912495764,0.793375,1.738637089729309,-3.804953976681358,1.0,5000,100000
9,0.30934827421840866,0.26605433225631714,0.04329393980534453,0.819375,1.7361671108948558,-3.8076478807549727,1.0,5000,100000
10,0.3031629316116634,0.2611106218476045,0.04205231133260225,0.81725,1.7444037073536922,-3.81080120488217,1.0,5000,100000
11,0.30892258725668253,0.2670832166546269,0.04183937001385187,0.776875,1.7360746107603375,-3.810842388554623,1.0,5000,100000
12,0.3026078170851657,0.2605878295082795,0.0420199869886825,0.724125,1.7318842034590871,-3.8080748884301436,1.0,5000,100000
13,0.293192531717451,0.25198294614490707,0.04120958459220434,0.830625,1.734056880599574,-3.8098691513663843,1.0,5000,100000
14,0.2922257341836628,0.25087793641968775,0.04134779658756758,0.8285,1.733859331984269,-3.8088702026166414,1.0,5000,100000
15,0.28352655313516917,0.24226542209324084,0.04126112947338506,0.82175,1.7293958350231773,-3.8089064296923185,1.0,5000,100000
16,0.25640741931764705,0.21541042390622592,0.040996995999624856,0.80725,1.7261884588944285,-3.8064911365509033,1.0,5000,100000
17,0.2723242122876017,0.23151190971073352,0.04081230434147935,0.831,1.7203143019425242,-3.8075477198550574,1.0,5000,100000
18,0.22862636807717776,0.18848085481869548,0.040145512278142725,0.8185,1.727564247030961,-3.810070037841797,1.0,5000,100000
19,0.22707649908567729,0.1869226909781757,0.040153808303569495,0.799875,1.7301292921367444,-3.8094266464835718,1.0,5000,100000
20,0.2618799821326607,0.22187207717644541,0.04000790142699292,0.8295,1.7269666822333085,-3.8108220727820146,1.0,5000,100000
21,0.23251369673954814,0.19186975689310776,0.040643938277897085,0.836125,1.718047399269907,-3.803570785020527,1.0,5000,100000
22,0.21478666129865145,0.17452145759996615,0.04026520389475321,0.83725,1.7234590179041813,-3.8066395583905672,1.0,5000,100000
23,0.22827030247763583,0.1883598119020462,0.03991049018345381,0.786875,1.7246621596185785,-3.809231243635479,1.0,5000,100000
24,0.20701563515161214,0.1673292490212541,0.039686387110697594,0.834875,1.7139829208976345,-3.8076204751667224,1.0,5000,100000
25,0.21703470772818514,0.17719733558203044,0.0398373721461547,0.8265,1.7105905758707147,-3.806480131651226,1.0,5000,100000
26,0.21390865703946665,0.17408636957406998,0.03982228726932877,0.842875,1.717944998490183,-3.808789792813753,1.0,5000,100000
27,0.1988689522994192,0.15948456996365598,0.03938438351217069,0.83725,1.7199470181214183,-3.8079326654735364,1.0,5000,100000
28,0.19489078145278127,0.15529415874104752,0.03959662075105466,0.8105,1.718532449320743,-3.807244802776136,1.0,5000,100000
29,0.21073974119989494,0.17151964181347898,0.03922009899428016,0.8055,1.7114622216475637,-3.8091400924481844,1.0,5000,100000
30,0.22157115136322222,0.18202263626613116,0.03954851607743062,0.815875,1.7037724695707623,-3.809242901049162,1.0,5000,100000
31,0.18878527142499624,0.1498160828885279,0.03896919069321532,0.831,1.7122008988731785,-3.8105143245897795,1.0,5000,100000
32,0.19845215897811086,0.15936199065886045,0.039090168319250405,0.812625,1.71379596308658,-3.8087707695208097,1.0,5000,100000
33,0.19084939752754412,0.15214087304316068,0.03870852134729687,0.82475,1.7136184039868807,-3.808727866724918,1.0,5000,100000
34,0.2117518845357393,0.17264148279240257,0.039110399978725535,0.84225,1.7061125667471635,-3.807380751559609,1.0,5000,100000
35,0.20388927898908915,0.16438749001214378,0.03950178995728493,0.8295,1.6953291579296714,-3.803611730274401,1.0,5000,100000
36,0.20176375539679275,0.16201558630717428,0.039748171050297584,0.826625,1.6952473364378278,-3.801498111925627,1.0,5000,100000
37,0.18851750853814578,0.14940519826976875,0.03911230987624118,0.834375,1.7023230038191144,-3.8052391629470024,1.0,5000,100000
38,0.18594643669693092,0.14789712350619466,0.03804931162219299,0.8345,1.7163523561076115,-3.812503789600573,1.0,5000,100000
39,0.1732722669839859,0.13533916010668404,0.03793310570089441,0.82625,1.7176227004904496,-3.813376878437243,1.0,5000,100000
40,0.1895471552484914,0.15127007624036387,0.038277079988467064,0.837625,1.7124479193436473,-3.8104881612878096,1.0,5000,100000
