epoch,loss,sup,unsup,contra,mask,st_acc,te_acc,best_acc,lr,ema
0,1.9356601666181514,1.9356601666181514,0.0,0.0,0.0,0.341,0.24,0.341,0.00016666666666666666,0.99
1,1.7270607581505408,1.7270607581505408,0.0,0.0,0.0,0.36925,0.248625,0.36925,0.0003333333333333333,0.9900098663578586
2,1.6320963884011292,1.6320963884011292,0.0,0.0,0.0,0.40775,0.218125,0.40775,0.0005,0.9900394264934276
3,1.6304619862483098,1.577326890749809,0.0003930360842973758,0.05274205903212229,0.001001602564102564,0.343,0.223125,0.40775,0.0006666666666666666,0.9900885637463566
4,1.5766024727087755,1.5190304853977301,0.0023836845006698216,0.055188301855172865,0.005208333333333333,0.4415,0.3635,0.4415,0.0008333333333333334,0.9901570841943569
5,1.548151636734987,1.4882625799912672,0.00587915151547163,0.05400990217159956,0.015424679487179488,0.3665,0.399625,0.4415,0.001,0.9902447174185243
6,1.4866061195349083,1.44911182538057,0.005596591876103328,0.0318977043319207,0.00921474358974359,0.417,0.379125,0.4415,0.000998794204878613,0.9903511175705587
7,1.4779874376761608,1.4211657031988487,0.008432764273423415,0.048388964186112084,0.02403846153846154,0.4685,0.469375,0.469375,0.0009951826940270774,0.9904758647376699
8,1.4278021791042426,1.3700426923923004,0.016346191748594627,0.041413301148284704,0.042868589743589744,0.422625,0.36625,0.469375,0.0009891830623632338,0.9906184665997807
9,1.4598746315026894,1.3674520896031306,0.05194762425544935,0.040474923160404734,0.08874198717948718,0.418875,0.2585,0.469375,0.0009808245394894678,0.9907783603724899
10,1.399817983309428,1.3262187731571686,0.04099496205647787,0.03260424556449438,0.09415064102564102,0.4685,0.435375,0.469375,0.0009701478472890247,0.9909549150281253
11,1.3963602995261168,1.3203661350103526,0.04688109190036089,0.029113071063199103,0.10416666666666667,0.389875,0.472625,0.472625,0.0009572050015330874,0.991147433786121
12,1.372210878592271,1.301966517399519,0.042856869025108144,0.027387488012512524,0.11478365384615384,0.458375,0.46075,0.472625,0.0009420590584651689,0.9913551568628929
13,1.334097853073707,1.2677011153636835,0.04097409116534086,0.025422649768491585,0.1155849358974359,0.45975,0.477625,0.477625,0.0009247838075974309,0.9915772644703565
14,1.349171947210263,1.278565451120719,0.047283092370400064,0.02332339562380161,0.11698717948717949,0.52425,0.500125,0.52425,0.000905463412215599,0.9918128800512566
15,1.340758088307503,1.2564450181447542,0.06163034148705311,0.022682728962256357,0.14202724358974358,0.484,0.5035,0.52425,0.0008841919993438941,0.9920610737385376
16,1.2718150546917548,1.2087429570846069,0.042636305857927374,0.020435787056787655,0.12540064102564102,0.49175,0.48075,0.52425,0.0008610732011676323,0.992320866025105
17,1.2901019362302928,1.2234020890333714,0.04768159813605822,0.019018249108623236,0.13822115384615385,0.412875,0.5035,0.52425,0.0008362196501476349,0.9925912316294914
18,1.2967145588153448,1.2130581339200337,0.0657220368201916,0.017934399680831492,0.15524839743589744,0.469375,0.517625,0.52425,0.0008097524302862008,0.9928711035421747
19,1.2724893261224797,1.1964249121837127,0.059453945893507734,0.016610462015542466,0.16105769230769232,0.416875,0.52475,0.52475,0.0007818004872180196,0.9931593772365767
20,1.2221520527815208,1.1624403458375197,0.04284637020184444,0.016865336957077186,0.13401442307692307,0.5015,0.543,0.543,0.0007525,0.9934549150281252
21,1.2442236924782777,1.1624586841998956,0.065606605166044,0.016158406419727284,0.19571314102564102,0.411125,0.51325,0.543,0.0007219937176605934,0.9937565505641757
22,1.246864146147019,1.161585842187588,0.06912934722808692,0.016148964325204875,0.1969150641025641,0.479375,0.526,0.543,0.0006904302637408765,0.9940630934270713
23,1.2132810262533336,1.1320670529817924,0.06561125776706597,0.015602715564175295,0.19290865384615385,0.540625,0.54975,0.54975,0.000657963412215599,0.9943733338321785
24,1.182707253174904,1.1154628541225042,0.05325152018131354,0.013992883945600344,0.16466346153846154,0.49825,0.50075,0.54975,0.0006247513383218356,0.9946860474023534
25,1.1843303442001343,1.1079097925088344,0.0632414500682782,0.013179106196054282,0.19831730769230768,0.511375,0.55125,0.55125,0.0005909558479451307,0.995
26,1.176543183815785,1.0946538929755871,0.06884527321045215,0.013044013976095578,0.19791666666666666,0.474375,0.519875,0.55125,0.0005567415893174885,0.9953139525976465
27,1.1947256074501917,1.0908275880874732,0.09064799026609996,0.013250031604025608,0.21875,0.489,0.5495,0.55125,0.000522275250867738,0.9956266661678215
28,1.167962060524867,1.0774969580845954,0.07781349858030295,0.012651610809067885,0.22796474358974358,0.55475,0.4715,0.55475,0.00048772474913226217,0.9959369065729287
29,1.2511651737567706,1.0979636831161304,0.14030587272002146,0.01289561708481648,0.3110977564102564,0.485375,0.481625,0.55475,0.00045325841068251166,0.9962434494358243
30,1.2339799641034541,1.0888168513774872,0.13267361200772798,0.01248950398980807,0.2786458333333333,0.505875,0.4765,0.55475,0.00041904415205486954,0.9965450849718748
31,1.3145957864247835,1.1105189522107441,0.19155571647943595,0.012521121985255143,0.3333333333333333,0.52425,0.334375,0.55475,0.00038524866167816444,0.9968406227634233
32,1.4530854370349493,1.1951159682029333,0.24492463402641126,0.013044837253311506,0.41025641025641024,0.5605,0.512875,0.5605,0.0003520365877844011,0.9971288964578253
33,1.1490683333996015,1.0448764188167377,0.09300136890931007,0.011190551834610792,0.27163461538461536,0.5485,0.53025,0.5605,0.00031956973625912356,0.9974087683705086
34,1.1958702573409448,1.059118513113413,0.12601043217075178,0.010741317226814154,0.3110977564102564,0.545625,0.50775,0.5605,0.0002880062823394067,0.9976791339748949
