epoch,loss,ce_loss,contra_loss,val_acc,alignment,uniformity,label_ratio,num_labeled,num_unlabeled
0,1.2676210121104592,0.9562101677844399,0.3114108521687357,0.709125,0.42329470813274384,-1.3983175033017208,1.0,5000,100000
1,0.7497103433859976,0.6015454891480898,0.14816485266936452,0.740875,0.19617246601142382,-0.8793181431920905,1.0,5000,100000
2,0.6272145886170236,0.520363621021572,0.10685097563423608,0.789,0.17583888102518885,-0.9957458251400998,1.0,5000,100000
3,0.5313320975554617,0.44345659017562866,0.0878755089483763,0.80425,0.1829733111356434,-1.0537746705506976,1.0,5000,100000
4,0.5257207845386705,0.4376377479026192,0.0880830387927984,0.672125,0.2051034656010176,-1.1317194888466282,1.0,5000,100000
5,0.49149997924503525,0.4202936291694641,0.0712063528205219,0.80825,0.17243432959443644,-1.0985174179077148,1.0,5000,100000
6,0.4402517111677873,0.37269357003663717,0.06755814171935383,0.79975,0.17595406425626656,-1.1126489011864913,1.0,5000,100000
7,0.3568522114502756,0.3056553696331225,0.05119684662081694,0.811,0.1368598373312699,-1.1055393156252409,1.0,5000,100000
8,0.3679057893000151,0.317537197941228,0.05036859214305878,0.805,0.14433800938882327,-1.102629818414387,1.0,5000,100000
9,0.355537222404229,0.31402251202809184,0.041514711552544645,0.80425,0.1176905708485528,-1.1043575123736733,1.0,5000,100000
10,0.35344637695111725,0.3004083625580135,0.0530380162557489,0.79825,0.14695218519160622,-1.0715089346233166,1.0,5000,100000
11,0.3916662445193843,0.332824065497047,0.058842179610540994,0.771375,0.1619798266573956,-1.097121702997308,1.0,5000,100000
12,0.3569580285172713,0.30101258268481806,0.055945450145947304,0.7705,0.15325848366084852,-1.1310796737670898,1.0,5000,100000
13,0.2956579656977403,0.2575204192023528,0.03813754531897997,0.790375,0.10928430604307275,-1.1258786916732788,1.0,5000,100000
14,0.30824482833084305,0.2652970607343473,0.04294776877290324,0.784,0.12474882445837322,-1.1080326845771389,1.0,5000,100000
15,0.3018592847021003,0.25675377877135025,0.045105507009123504,0.822875,0.12648416016446917,-1.0797265015150372,1.0,5000,100000
16,0.31332385540008545,0.2715529336741096,0.04177091947119487,0.829,0.1276550277283317,-1.1093017866736965,1.0,5000,100000
17,0.28666711324139643,0.2515694859780763,0.035097627165286166,0.813375,0.10546279482935604,-1.0812032787423385,1.0,5000,100000
18,0.2793043553829193,0.238891034534103,0.04041332192718983,0.832375,0.12299110956097904,-1.0653386555219952,1.0,5000,100000
19,0.24049196039375506,0.21285241057998255,0.02763954991180646,0.7985,0.08687461687153891,-1.094935693238911,1.0,5000,100000
20,0.24118910651457937,0.211242213845253,0.02994689286539429,0.825125,0.09873173954455476,-1.1144837517487376,1.0,5000,100000
21,0.26066090911626816,0.22446272365356745,0.036198187717481664,0.838375,0.10615768891416098,-1.0972983774385954,1.0,5000,100000
22,0.25021549039765406,0.21478733890934995,0.035428151292236226,0.845375,0.10022612268987455,-1.1041779831836098,1.0,5000,100000
23,0.24829310963028356,0.2165145183864393,0.03177858957726704,0.80275,0.09537812557659651,-1.1239971926337795,1.0,5000,100000
24,0.24113133941826068,0.20933478482459722,0.031796554446612536,0.81875,0.10121813681172698,-1.092514351794594,1.0,5000,100000
25,0.23501578208647275,0.20246655493974686,0.03254922807804848,0.81725,0.10238721800085746,-1.0717941397114803,1.0,5000,100000
26,0.23601687660342768,0.2100058464627517,0.026011029013285513,0.813875,0.08584126261504073,-1.096332405742846,1.0,5000,100000
27,0.22843200125192342,0.19570703490784294,0.03272496506963905,0.833125,0.10487310656983602,-1.0788590908050537,1.0,5000,100000
28,0.24208996954717135,0.20952632121349635,0.032563650686489906,0.831125,0.10151657246445354,-1.0749821349194175,1.0,5000,100000
29,0.20629876773608358,0.18012908022654683,0.026169687656587677,0.815,0.0853024696637141,-1.0890473629298962,1.0,5000,100000
30,0.2166891098022461,0.18731947596135892,0.029369634625158812,0.8455,0.0911580307997371,-1.0763137716996043,1.0,5000,100000
31,0.1985512152314186,0.17468911448591634,0.023862100843536228,0.832125,0.07776265728630517,-1.06252416184074,1.0,5000,100000
32,0.1902417069987247,0.1681278834217473,0.02211382480240182,0.799,0.07147579130373503,-1.0520948297099064,1.0,5000,100000
33,0.23084181939300738,0.20302802716430865,0.0278137944834797,0.813,0.08565891200774595,-1.0410966433976825,1.0,5000,100000
34,0.18079092824145368,0.1582480021997502,0.02254292655638174,0.8325,0.0709631177351663,-1.0774140985388505,1.0,5000,100000
35,0.20973467905270426,0.1784649946187672,0.03126968453197103,0.814125,0.09799904670370252,-1.091130068427638,1.0,5000,100000
36,0.21313594595382088,0.18369226000810923,0.029443686999576658,0.817875,0.09292790244676565,-1.0886516382819729,1.0,5000,100000
37,0.21044909797216715,0.1846560726040288,0.02579302272122157,0.791125,0.08236125464502134,-1.110263335077386,1.0,5000,100000
38,0.1868606307788899,0.16374135684025914,0.023119273791579825,0.772,0.07345259385673623,-1.1070529724422253,1.0,5000,100000
39,0.18704535616071602,0.16414026994454234,0.02290508611813972,0.84825,0.06721597674645875,-1.1085054748936702,1.0,5000,100000
40,0.19304572281084562,0.16796944329613134,0.025076277995187985,0.84175,0.06943112219634809,-1.0911833800767596,1.0,5000,100000
41,0.1555313954227849,0.13672561120045812,0.018805783781173983,0.817125,0.058563173601501865,-1.1036987994846545,1.0,5000,100000
42,0.15284858369513563,0.1340377797421656,0.018810804149037914,0.837125,0.06727936334515873,-1.1463585652803119,1.0,5000,100000
43,0.1691526907839273,0.14822183078841158,0.020930858525006396,0.836,0.07014588433268823,-1.123734423988744,1.0,5000,100000
44,0.15118126884887093,0.1325495266600659,0.01863174155158432,0.84525,0.06108941480909523,-1.0843308411146466,1.0,5000,100000
45,0.1566602870037681,0.13884944194241575,0.01781084444864016,0.84375,0.06544409956979125,-1.1016709177117598,1.0,5000,100000
46,0.18439538031816483,0.16270152165701515,0.021693859077793986,0.839875,0.07460054049366399,-1.107090573561819,1.0,5000,100000
47,0.15843409691986285,0.13745451365646563,0.020979581915430333,0.820125,0.06503927972363799,-1.083089132057993,1.0,5000,100000
48,0.1403955081967931,0.1244466987095381,0.015948808923559755,0.857875,0.05130625908312045,-1.0897803369321322,1.0,5000,100000
49,0.13509302743171392,0.11630236926047426,0.018790657313442545,0.8465,0.05660164650333555,-1.0745552590018825,1.0,5000,100000
50,0.15684517080846586,0.1357611966760535,0.021083972980513385,0.840875,0.06961707143407118,-1.0907504746788426,1.0,5000,100000
51,0.15161487499349996,0.13322657346725464,0.01838830208994056,0.840625,0.06608613668695877,-1.1001659255278737,1.0,5000,100000
52,0.15392744227459557,0.1346250219564689,0.019302419950499347,0.849,0.06268648773823914,-1.097294845079121,1.0,5000,100000
53,0.14908183130778765,0.12855095612375358,0.020530877634882927,0.8225,0.07403552571409627,-1.1187137428082918,1.0,5000,100000
54,0.17204719272099042,0.14934352824562475,0.02270366408322987,0.848375,0.07785765905129283,-1.0896093155208386,1.0,5000,100000
55,0.1604340727391996,0.13684921358761035,0.023584860278979727,0.806,0.07897334741918664,-1.1089930722587986,1.0,5000,100000
56,0.15572607517242432,0.1343294197791501,0.021396654388426167,0.83225,0.07874099900455851,-1.1542181905947233,1.0,5000,100000
57,0.1708939549954314,0.14936886218033338,0.0215250919573009,0.80075,0.07609792543869269,-1.1200806906348781,1.0,5000,100000
58,0.15145777126676158,0.13118958120283328,0.020268189181622705,0.847125,0.06639774712292772,-1.1023676081707603,1.0,5000,100000
59,0.1379427133422149,0.12024534415257604,0.01769736899357093,0.83125,0.06169960873299524,-1.0836648188139264,1.0,5000,100000
