epoch,loss,sup,unsup,contra,mask,st_acc,te_acc,best_acc,lr,ema
0,1.9419573270357573,1.9419573270357573,0.0,0.0,0.0,0.30675,0.234125,0.30675,0.00016666666666666666,0.99
1,1.7354268783178084,1.7354268783178084,0.0,0.0,0.0,0.34425,0.295875,0.34425,0.0003333333333333333,0.9900098663578586
2,1.6616095059957259,1.6522596065814679,0.00021205804286858975,0.009137841371389536,0.00040064102564102563,0.356,0.2895,0.356,0.0005,0.9900394264934276
3,1.6044640785608537,1.6044640785608537,0.0,0.0,0.0,0.36525,0.323,0.36525,0.0006666666666666666,0.9900885637463566
4,1.641413091084896,1.5501915369278345,0.0035029924832857572,0.08771856893331577,0.005008012820512821,0.42575,0.3025,0.42575,0.0008333333333333334,0.9901570841943569
5,1.496466881189591,1.4823708473107753,0.000336916018755008,0.013759119388384696,0.0008012820512820513,0.383375,0.34725,0.42575,0.001,0.9902447174185243
6,1.559912919998169,1.4562066610042865,0.0028943404173239684,0.10081192010488266,0.006810897435897436,0.44175,0.3805,0.44175,0.000998794204878613,0.9903511175705587
7,1.6761919153042328,1.440488955913446,0.029954250042255107,0.20574870505012,0.05028044871794872,0.41825,0.409375,0.44175,0.0009951826940270774,0.9904758647376699
8,1.6586000812359345,1.4311785086607323,0.013187818038157927,0.2142337543460039,0.031049679487179488,0.438625,0.38375,0.44175,0.0009891830623632338,0.9906184665997807
9,1.6870330144197514,1.4048612484565148,0.03169369697570801,0.250478070253172,0.05388621794871795,0.418125,0.454,0.454,0.0009808245394894678,0.9907783603724899
10,1.6653793515303197,1.3780334897530384,0.03224150492594792,0.2551043483500297,0.06570512820512821,0.299875,0.468375,0.468375,0.0009701478472890247,0.9909549150281253
11,1.607436750179682,1.3392826975920262,0.04064403283290374,0.2275100177488266,0.0921474358974359,0.295125,0.411875,0.468375,0.0009572050015330874,0.991147433786121
12,1.6172461387438652,1.3483261939806817,0.030013160827832345,0.23890678259806755,0.0719150641025641,0.439,0.438625,0.468375,0.0009420590584651689,0.9913551568628929
13,1.5700727731753619,1.3027957876523335,0.04313878218332926,0.22413820138153356,0.1045673076923077,0.344375,0.435875,0.468375,0.0009247838075974309,0.9915772644703565
14,1.5832795668870976,1.3067774971326191,0.03840026794335781,0.23810180391256625,0.09435096153846154,0.454,0.460875,0.468375,0.000905463412215599,0.9918128800512566
15,1.5282658812327263,1.2676789684173388,0.0446428412046188,0.21594407562261972,0.12179487179487179,0.4395,0.46325,0.468375,0.0008841919993438941,0.9920610737385376
16,1.5351049594390087,1.2560258828676665,0.06089635766469515,0.21818272869747418,0.16306089743589744,0.438375,0.4995,0.4995,0.0008610732011676323,0.992320866025105
17,1.5015129019052555,1.2512054840723674,0.05302074475166125,0.19728667327226737,0.1564503205128205,0.515625,0.493,0.515625,0.0008362196501476349,0.9925912316294914
18,1.5192309938944304,1.234509500173422,0.0820304457193766,0.2026910472374696,0.16826923076923078,0.506,0.500375,0.515625,0.0008097524302862008,0.9928711035421747
19,1.4899168289624727,1.21476099277154,0.07476335649306957,0.20039247984114367,0.19250801282051283,0.381,0.516625,0.516625,0.0007818004872180196,0.9931593772365767
20,1.5103918650211432,1.24164706774247,0.07402244630532387,0.19472235250167358,0.19130608974358973,0.461625,0.513625,0.516625,0.0007525,0.9934549150281252
